Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,Media
2821019729,"27 Oct 2019, 11:02:43",Mam Tor,Hike,,5355,4.64,,,false,,,activities/2821019729.gpx,100.0,,5355.0,4245.0,4648.5,2.8,,76.5,310.2,181.7,495.9,29.9,-5.0,,,,,,,,,0.0,,,,,,,,,5.0,,,,,0.0,76.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/B97C2510-FE26-47C9-9370-1B61EFC0136C.jpg|media/D0EB7CE0-5D36-4B90-87AF-92AF67EAB8F3.jpg|media/B1F051D9-6B0A-4452-949C-9FB20A870064.jpg|media/6BABEBCD-7699-4515-9765-B8D4BC0F20D4.jpg|media/FC10A68D-E81F-4396-87D7-5E1258E19514.jpg|media/3A687328-694B-43D6-A30F-065367D14E39.jpg|media/5ACE803D-C72F-4CDE-B2A8-6F3C7BA1ABBC.jpg|media/44C2B615-4070-41E8-BDD8-D8E09CEC0212.jpg|media/69522C02-B4B7-4E99-9112-EAB4ACE1C92E.jpg|media/CBF27088-0E48-443C-86E1-ED2E3DB42161.jpg|media/2F9D4106-C052-4ED3-8D29-BBB715D8CC10.jpg|media/D8E758CC-4A4D-4764-8F09-C5996E69E494.jpg|media/F2E5CBF5-FF11-4FA0-ABC2-4EAF8C33052F.jpg|media/0633B7D0-C1F3-41C6-822E-2956494828CA.jpg|media/35B97050-45EF-4E35-BE98-D67149FCF693.jpg
3293358657,"11 Apr 2020, 10:04:37",Lunch Run,Run,"",1190,3.12,192.0,34,false,,ASICS GT-2000 7 Nottingham Runners,activities/3520424306.fit.gz,100.0,,1190.0,1190.0,3127.7,7.5,2.628,14.5,15.5,23.6,38.2,26.0,0.0,,,,,192.0,,,,281.0,,,34.0,,,,,,,,,,,0.0,,0.0,,1.0,3175.0,,,,,,,,,,,,,,,,6323657.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3293882949,"13 Apr 2020, 14:26:47",Easter Hangover Run,Run,"",1885,5.04,195.0,72,false,,ASICS GT-2000 7 Nottingham Runners,activities/3520977960.fit.gz,100.0,,1885.0,1868.0,5048.4,6.7,2.703,14.7,17.9,23.6,42.6,15.7,-0.1,,,,,195.0,,,,461.0,,,72.0,,,,,,7.0,,,,,0.0,59.0,0.0,,1.0,5092.4,,,,,,,,,,,,,,,,6323657.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3301718204,"15 Apr 2020, 11:14:11",Lunch Run,Run,"",1083,3.01,195.0,37,false,,ASICS GT-2000 7 Nottingham Runners,activities/3529228723.fit.gz,100.0,,1083.0,1042.0,3012.1,5.1,2.891,24.6,26.3,24.2,40.7,23.0,-0.1,,,,,195.0,,,,275.0,,,37.0,,,,,,6.0,,,,,0.0,27.0,0.0,,1.0,3077.6,,,,,,,,,,,,,,,,6323657.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3321146874,"19 Apr 2020, 12:00:18",Charity run #2,Run,"",2216,5.42,182.0,59,false,,ASICS GT-2000 7 Nottingham Runners,activities/3549691954.fit.gz,100.0,,2216.0,2019.0,5427.9,4.8,2.688,71.4,71.3,38.1,75.5,16.4,0.0,,,,,182.0,,,,507.0,,,59.0,,,,,,10.0,,,,,0.0,123.0,0.0,,1.0,5553.9,,,,,,,,,,,,,,,,6323657.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/4CCDCB75-2664-4FFB-B669-829E162CFDE5.jpg|media/807584F6-390A-4ADB-A0F5-46FF28216720.jpg|media/2DD185F6-27DA-4C1A-92BF-E4187F4CE552.jpg
3397656994,"4 May 2020, 16:44:50",Afternoon Run,Run,"",1153,3.04,194.0,41,false,,ASICS GT-2000 7 Nottingham Runners,activities/3630151196.fit.gz,100.0,,1153.0,1139.0,3040.5,5.6,2.669,19.2,15.9,22.8,43.7,24.3,0.1,,,,,194.0,,,,295.0,,,41.0,,,,,,7.0,,,,,0.0,36.0,0.0,,1.0,3105.9,,,,,,,,,,,,,,,,6323657.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3515827568,"25 May 2020, 08:59:13",County n Back,Run,"",1060,3.02,201.0,48,false,,ASICS GT-2000 7 Nottingham Runners,activities/3754353265.fit.gz,,,1060.0,1052.0,3023.9,5.1,2.874,25.9,29.4,24.3,43.6,12.5,-0.1,,,,,,178.0,,,287.0,,,48.0,,,,,,5.0,,,,,0.0,18.0,0.0,,1.0,3061.1,,,,,,,,,,,,,,,,6323657.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3524677484,"27 May 2020, 09:21:21",County n Back,Run,"",1073,3.01,199.0,49,false,,ASICS GT-2000 7 Nottingham Runners,activities/3763636108.fit.gz,,,1073.0,1059.0,3014.7,6.0,2.847,24.6,27.8,24.2,42.5,12.9,-0.1,,,,,,179.0,,,285.0,,,49.0,,,,,,5.0,,,,,0.0,19.0,0.0,,1.0,3051.6,,,,,,,,,,,,,,,,6323657.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3535474022,"30 May 2020, 10:03:20",County n Back,Run,"",918,2.56,187.0,25,false,,ASICS GT-2000 7 Nottingham Runners,activities/3774979401.fit.gz,,,918.0,901.0,2560.2,6.0,2.842,11.5,24.5,24.3,38.9,26.7,-0.5,,,,,,166.0,,,224.0,,,25.0,,,,,,7.0,,,,,0.0,28.0,0.0,,1.0,2558.2,,,,,,,,,,,,,,,,6323657.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3552295145,"2 Jun 2020, 11:09:28",Forest n Back,Run,"",1873,5.05,194.0,66,false,,ASICS GT-2000 7 Nottingham Runners,activities/3792957078.fit.gz,,,1873.0,1801.0,5051.9,5.3,2.805,33.7,36.6,24.7,42.3,23.0,-0.1,,,,,,172.0,,,468.0,,,66.0,,,,,,7.0,,,,,0.0,57.0,0.0,,1.0,5103.3,,,,,,,,,,,,,,,,6323657.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
